trunk	-1	145
trunk_link	0	466
trunk_link	1	17411
road	0	281
residential	-1	3019
living_street	1	22
service	0	116903
motorway_link	-1	13
secondary_link	0	150
motorway	0	52
road	1	31
unclassified	1	6318
residential	0	718986
residential	1	48067
tertiary_link	1	1094
secondary	0	49553
primary_link	-1	7
tertiary_link	0	167
tertiary	1	10126
service	-1	988
living_street	0	179
trunk_link	-1	69
secondary	1	15620
secondary_link	1	2459
primary	1	13982
motorway	1	43639
trunk	0	906
primary	0	32305
tertiary	0	67470
trunk	1	19724
tertiary_link	-1	39
unclassified	0	7421
unclassified	-1	194
motorway_link	1	53057
primary	-1	133
secondary_link	-1	5
secondary	-1	246
service	1	19192
tertiary	-1	343
primary_link	0	135
primary_link	1	3521
motorway_link	0	526
