"RC_ID","ROUTE SIGNING","ROUTE","ROAD NUMBER","ROAD NAME","END MILEPOINT","BEGIN DESCRIPTION","END DESCRIPTION","COUNTY","MUNICIPALITY NAME","MUNICIPALITY TYPE","SEASONAL FACTOR GROUP","FUNCTIONAL CLASS"
"010004","US","  1",,"WEBSTER AVE","2.71","END RT 95I OLAP WEBSTER AVE","FORDHAM RD","BRONX","NEW YORK","CITY","30","14"
"010005","US","  1",,"E FORDHAM RD","3.70","FORDHAM RD","RT 907H BRONX RIVER PKWY SOU","BRONX","NEW YORK","CITY","30","14"
"010006","US","  1",,"E FORDHAM RD","4.01","RT 907H BRONX RIVER PKWY SOU","PELHAM PKWY BOSTON POST RD R","BRONX","NEW YORK","CITY","30","14"
"010007","US","  1",,"BOSTON RD","5.40","PELHAM PKWY BOSTON POST RD R","GUN HILL RD","BRONX","NEW YORK","CITY","30","14"
"010008","US","  1",,"BOSTON RD","7.04","GUN HILL RD","RT 22 PROVOST AVE","BRONX","NEW YORK","CITY","30","14"
"010009","US","  1",,"BOSTON RD","7.62","RT 22 PROVOST AVE","WESTCHESTER CO LINE","BRONX","NEW YORK","CITY","40","14"
"870001","US","  1",,,"7.79","WESTCHESTER CO LINE","ACC HUTCHINSON R PKWY","WESTCHESTER","PELHAM MANOR","VILLAGE","30","14"
"870002","US","  1",,,"8.47","ACC HUTCHINSON R PKWY","PELHAMDALE AVE","WESTCHESTER","PELHAM MANOR","VILLAGE","30","14"
"870003","US","  1",,"MAIN ST","9.06","PELHAMDALE AVE","ACC RT 95I","WESTCHESTER","PELHAM MANOR","VILLAGE","30","14"
"870004","US","  1",,"MAIN ST","11.24","ACC RT 95I","NEW ROCHELLE E CITY LN","WESTCHESTER","NEW ROCHELLE","CITY","30","14"
"870005","US","  1",,,"12.67","NEW ROCHELLE E CITY LN","RT 125 LARCHMONT","WESTCHESTER","LARCHMONT","VILLAGE","30","14"
"870122","US","  1",,,"13.90","RT 125 LARCHMONT","MAMARONECK RD","WESTCHESTER","MAMARONECK","VILLAGE","30","14"
"870006","US","  1",,,"14.50","MAMARONECK RD","RT 127 MAMARONECK","WESTCHESTER","MAMARONECK","VILLAGE","30","14"
"870007","US","  1",,"BOSTON POST RD","16.67","RT 127 MAMARONECK","PLAYLAND PKY","WESTCHESTER","RYE","CITY","30","14"
"870008","US","  1",,"BOSTON POST RD","17.59","PLAYLAND PKY","RT 120","WESTCHESTER","RYE","CITY","30","14"
"870009","US","  1",,"BOSTON POST RD","18.04","RT 120","ACC RT 95I","WESTCHESTER","RYE","CITY","30","14"
"870010","US","  1",,"BOSTON POST RD","18.39","ACC RT 95I","RYE N CITY LN ACC 287I","WESTCHESTER","RYE","CITY","30","14"
"870137","US","  1",,,"19.15","RYE N CITY LN ACC 287I","GRACE CHURCH ST","WESTCHESTER","PORT CHESTER","VILLAGE","30","14"
"870129","US","  1",,,"19.39","GRACE CHURCH ST","WESTCHESTER AVE","WESTCHESTER","PORT CHESTER","VILLAGE","30","14"
"870011","US","  1",,,"20.27","WESTCHESTER AVE","NY982C PUTNAM AV","WESTCHESTER","PORT CHESTER","VILLAGE","30","14"
"870017","US","  1",,,"20.31","NY982C PUTNAM AV","CONN STATE LINE END 1","WESTCHESTER","PORT CHESTER","VILLAGE","30","14"
"110555","NY","  2",,,"0.51","RT 7 JCT","RT 9 UNDER","ALBANY","COLONIE","TOWN","30","14"
"110152","NY","  2",,,"2.19","RT 9 UNDER","DELATOUR RD","ALBANY","COLONIE","TOWN","30","14"
"110185","NY","  2",,,"2.88","DELATOUR RD","WATERVLIET W CITY LINE","ALBANY","COLONIE","TOWN","30","14"
"110030","NY","  2",,"NINETEENTH ST","3.18","WATERVLIET W CITY LINE","BOGHT RD & 12TH AVE","ALBANY","WATERVLIET","CITY","30","14"
"110184","NY","  2",,"NINETEENTH ST","3.82","BOGHT RD & 12TH AVE","RT 32 JCT","ALBANY","WATERVLIET","CITY","30","14"
"110130","NY","  2",,,"4.05","RT 32 JCT","RENSSELAER CO LINE","ALBANY","WATERVLIET","CITY","30","14"
"140045","NY","  2",,,"4.38","RENSSELAER CO LINE","RT 4 SB","RENSSELAER","TROY","CITY","30","14"
"140046","NY","  2",,,"4.45","RT 4 SB","RT 4 NB","RENSSELAER","TROY","CITY","30","14"
"140158","NY","  2",,"CONGRESS ST","5.16","RT 4 NB","15TH ST","RENSSELAER","TROY","CITY","30","14"
"140151","NY","  2",,"CONGRESS ST","5.39","15TH ST","RT 66","RENSSELAER","TROY","CITY","30","14"
"140154","NY","  2",,"BRUNSWICK RD","6.47","RT 66","TROY E CITY LN","RENSSELAER","TROY","CITY","30","14"
"140171","NY","  2",,,"9.30","TROY E CITY LN","CR 139 EAGLE MILLS","RENSSELAER","BRUNSWICK","TOWN","30","14"
"140017","NY","  2",,,"11.74","CR 139 EAGLE MILLS","RT 278 JCT","RENSSELAER","BRUNSWICK","TOWN","30","14"
"140058","NY","  2",,,"12.18","RT 278 JCT","RT 351 JCT","RENSSELAER","BRUNSWICK","TOWN","30","06"
"140059","NY","  2",,,"18.61","RT 351 JCT","ACC GRAFTON STATE PK","RENSSELAER","GRAFTON","TOWN","40","06"
"140175","NY","  2",,,"25.10","ACC GRAFTON STATE PK","RT 22 UNDER","RENSSELAER","GRAFTON","TOWN","40","06"
"140487","NY","  2",,,"30.89","RT 22 UNDER","MASS STATE LN END RT 2","RENSSELAER","PETERSBURGH","TOWN","40","06"
"710416","US","  2",,,"0.88","US 11","VERMONT STATE LINE END 2U","CLINTON","CHAMPLAIN","TOWN","40","02"
"310088","NY","  3",,,"1.23","RT 104A","OSWEGO CO LN","CAYUGA","STERLING","TOWN","40","07"
"340029","NY","  3",,"FULTON ST","3.45","OSWEGO CO LN","RT 104 HANNIBAL","OSWEGO","HANNIBAL","VILLAGE","40","07"
"340291","NY","  3",,"FULTON ST","8.61","RT 104 HANNIBAL","CR 8 GRANBY CTR","OSWEGO","HANNIBAL","TOWN","40","06"
"340304","NY","  3",,,"10.40","CR 8 GRANBY CTR","FULTON W CITY LN","OSWEGO","GRANBY","TOWN","40","16"
